loyal_customer,total_spent,num_purchases,avg_spent_per_purchase,last_purchase_date
27,10000,6,1666.6666666666667,2020-08-07
64,12100,9,1344.4444444444443,2020-05-27
61,11500,6,1916.6666666666667,2019-12-04
55,6600,6,1100.0,2019-07-04
23,10000,5,2000.0,2020-08-16
39,8000,6,1333.3333333333333,2020-06-30
7,6100,6,1016.6666666666666,2020-07-06
50,6400,6,1066.6666666666667,2019-03-04
45,11000,9,1222.2222222222222,2019-08-09
38,13300,7,1900.0,2020-03-04
29,16500,6,2750.0,2020-12-07
56,13500,6,2250.0,2020-04-15
71,13000,8,1625.0,2020-08-11
